hdr;country;code;perc;anno
1;Norway;NOR;56.1;1995
2;Switzerland;CHE;56.1;1995
3;Australia;AUS;53.8;1995
4;Germany;DEU;47.8;1995
5;Denmark;DNK;57.9;1995
6;Singapore;SGP;49.7;1995
7;Netherlands;NLD;47.4;1995
8;Ireland;IRL;40.0;1995
9;Iceland;ISL;70.5;1995
10;Canada;CAN;56.8;1995
11;United States;USA;57.8;1995
12;New Zealand;NZL;55.2;1995
13;Sweden;SWE;58.6;1995
14;United Kingdom;GBR;52.3;1995
15;Japan;JPN;50.0;1995
16;Korea, Rep.;KOR;48.5;1995
17;Israel;ISR;51.5;1995
18;Luxembourg;LUX;35.3;1995
19;France;FRA;47.6;1995
20;Belgium;BEL;40.4;1995
21;Finland;FIN;55.0;1995
22;Austria;AUT;48.3;1995
23;Slovenia;SVN;52.4;1995
24;Italy;ITA;33.6;1995
25;Spain;ESP;37.2;1995
26;Czech Republic;CZE;52.3;1995
27;Greece;GRC;36.5;1995
28;Estonia;EST;53.8;1995
29;Cyprus;CYP;41.6;1995
30;Malta;MLT;28.2;1995
31;Qatar;QAT;41.9;1995
32;Poland;POL;51.1;1995
33;Lithuania;LTU;55.5;1995
34;Chile;CHL;34.4;1995
35;Saudi Arabia;SAU;14.9;1995
36;Slovak Republic;SVK;51.5;1995
37;Portugal;PRT;49.3;1995
38;United Arab Emirates;ARE;31.3;1995
39;Hungary;HUN;40.4;1995
40;Latvia;LVA;53.1;1995
41;Argentina;ARG;41.3;1995
42;Croatia;HRV;45.6;1995
43;Bahrain;BHR;31.6;1995
44;Montenegro;MNE;44.2;1995
45;Russian Federation;RUS;52.7;1995
46;Romania;ROU;58.2;1995
47;Kuwait;KWT;41.4;1995
48;Belarus;BLR;55.8;1995
49;Oman;OMN;19.7;1995
50;Barbados;BRB;63.8;1995
51;Uruguay;URY;49.4;1995
52;Bulgaria;BGR;50.6;1995
53;Kazakhstan;KAZ;62.7;1995
54;Bahamas, The;BHS;67.8;1995
55;Panama;PAN;42.8;1995
56;Mauritius;MUS;39.1;1995
57;Trinidad and Tobago;TTO;44.8;1995
58;Costa Rica;CRI;35.5;1995
59;Serbia;SRB;44.6;1995
60;Cuba;CUB;36.3;1995
61;Iran, Islamic Rep.;IRN;10.4;1995
62;Georgia;GEO;59.4;1995
63;Turkey;TUR;30.8;1995
64;Venezuela, RB;VEN;41.3;1995
65;Sri Lanka;LKA;36.3;1995
66;Albania;ALB;53.0;1995
67;Lebanon;LBN;19.1;1995
68;Mexico;MEX;37.7;1995
69;Azerbaijan;AZE;56.8;1995
70;Brazil;BRA;54.5;1995
71;Bosnia and Herzegovina;BIH;31.0;1995
72;Armenia;ARM;50.4;1995
73;Ukraine;UKR;54.0;1995
74;Jordan;JOR;11.9;1995
75;Peru;PER;51.2;1995
76;Thailand;THA;65.6;1995
77;Ecuador;ECU;46.8;1995
78;China;CHN;72.8;1995
79;Fiji;FJI;37.6;1995
80;Mongolia;MNG;54.9;1995
81;Jamaica;JAM;66.5;1995
82;Colombia;COL;36.1;1995
83;Suriname;SUR;33.0;1995
84;Tunisia;TUN;22.5;1995
85;Dominican Republic;DOM;44.6;1995
86;Tonga;TON;46.1;1995
87;Libya;LBY;21.7;1995
88;Belize;BLZ;35.9;1995
89;Samoa;WSM;37.0;1995
90;Maldives;MDV;28.2;1995
91;Uzbekistan;UZB;46.6;1995
92;Moldova;MDA;58.9;1995
93;Botswana;BWA;68.2;1995
94;Gabon;GAB;55.1;1995
95;Paraguay;PRY;54.3;1995
96;Egypt, Arab Rep.;EGY;20.9;1995
97;Turkmenistan;TKM;47.3;1995
98;Indonesia;IDN;50.9;1995
99;Vietnam;VNM;73.2;1995
100;Philippines;PHL;49.5;1995
101;El Salvador;SLV;43.1;1995
102;Bolivia;BOL;54.6;1995
103;South Africa;ZAF;45.4;1995
104;Kyrgyz Republic;KGZ;57.8;1995
105;Iraq;IRQ;11.7;1995
106;Morocco;MAR;27.9;1995
107;Nicaragua;NIC;33.4;1995
108;Guatemala;GTM;34.0;1995
109;Namibia;NAM;48.9;1995
110;Tajikistan;TJK;58.3;1995
111;Honduras;HND;35.0;1995
112;India;IND;35.4;1995
113;Bhutan;BTN;47.5;1995
114;Congo, Dem. Rep.;COD;60.1;1995
115;Lao PDR;LAO;80.0;1995
116;Bangladesh;BGD;56.3;1995
117;Ghana;GHA;71.7;1995
118;Zambia;ZMB;74.4;1995
119;Cambodia;KHM;77.2;1995
120;Nepal;NPL;82.8;1995
121;Myanmar;MMR;73.8;1995
122;Kenya;KEN;66.6;1995
