hdr;country;code;gii;anno
1;Norway;NOR;0.120;1995
2;Switzerland;CHE;0.120;1995
3;Australia;AUS;0.180;1995
4;Germany;DEU;0.160;1995
5;Denmark;DNK;0.100;1995
6;Singapore;SGP;0.250;1995
7;Netherlands;NLD;0.110;1995
8;Ireland;IRL;0.200;1995
9;Iceland;ISL;0.180;1995
10;Canada;CAN;0.180;1995
11;United States;USA;0.310;1995
12;New Zealand;NZL;0.220;1995
13;Sweden;SWE;0.090;1995
14;United Kingdom;GBR;0.240;1995
15;Japan;JPN;0.160;1995
16;Korea, Rep.;KOR;0.280;1995
17;Israel;ISR;0.240;1995
18;Luxembourg;LUX;0.200;1995
19;France;FRA;0.220;1995
20;Belgium;BEL;0.160;1995
21;Finland;FIN;0.100;1995
22;Austria;AUT;0.190;1995
23;Slovenia;SVN;0.250;1995
24;Italy;ITA;0.200;1995
25;Spain;ESP;0.160;1995
26;Czech Republic;CZE;0.250;1995
27;Greece;GRC;0.280;1995
28;Estonia;EST;0.390;1995
29;Cyprus;CYP;0.350;1995
30;Malta;MLT;0.330;1995
31;Qatar;QAT;0.000;1995
32;Poland;POL;0.260;1995
33;Lithuania;LTU;0.330;1995
34;Chile;CHL;0.480;1995
35;Saudi Arabia;SAU;0.000;1995
36;Slovak Republic;SVK;0.250;1995
37;Portugal;PRT;0.240;1995
38;United Arab Emirates;ARE;0.640;1995
39;Hungary;HUN;0.320;1995
40;Latvia;LVA;0.410;1995
41;Argentina;ARG;0.430;1995
42;Croatia;HRV;0.280;1995
43;Bahrain;BHR;0.000;1995
44;Montenegro;MNE;0.000;1995
45;Russian Federation;RUS;0.470;1995
46;Romania;ROU;0.470;1995
47;Kuwait;KWT;0.590;1995
48;Belarus;BLR;0.000;1995
49;Oman;OMN;0.000;1995
50;Barbados;BRB;0.370;1995
51;Uruguay;URY;0.440;1995
52;Bulgaria;BGR;0.370;1995
53;Kazakhstan;KAZ;0.450;1995
54;Bahamas, The;BHS;0.000;1995
55;Panama;PAN;0.520;1995
56;Mauritius;MUS;0.480;1995
57;Trinidad and Tobago;TTO;0.430;1995
58;Costa Rica;CRI;0.460;1995
59;Serbia;SRB;0.000;1995
60;Cuba;CUB;0.430;1995
61;Iran, Islamic Rep.;IRN;0.670;1995
62;Georgia;GEO;0.430;1995
63;Turkey;TUR;0.630;1995
64;Venezuela, RB;VEN;0.550;1995
65;Sri Lanka;LKA;0.470;1995
66;Albania;ALB;0.000;1995
67;Lebanon;LBN;0.000;1995
68;Mexico;MEX;0.510;1995
69;Azerbaijan;AZE;0.000;1995
70;Brazil;BRA;0.510;1995
71;Bosnia and Herzegovina;BIH;0.000;1995
72;Armenia;ARM;0.470;1995
73;Ukraine;UKR;0.480;1995
74;Jordan;JOR;0.670;1995
75;Peru;PER;0.550;1995
76;Thailand;THA;0.400;1995
77;Ecuador;ECU;0.590;1995
78;China;CHN;0.000;1995
79;Fiji;FJI;0.500;1995
80;Mongolia;MNG;0.500;1995
81;Jamaica;JAM;0.480;1995
82;Colombia;COL;0.540;1995
83;Suriname;SUR;0.000;1995
84;Tunisia;TUN;0.530;1995
85;Dominican Republic;DOM;0.570;1995
86;Tonga;TON;0.680;1995
87;Libya;LBY;0.000;1995
88;Belize;BLZ;0.520;1995
89;Samoa;WSM;0.000;1995
90;Maldives;MDV;0.650;1995
91;Uzbekistan;UZB;0.000;1995
92;Moldova;MDA;0.490;1995
93;Botswana;BWA;0.550;1995
94;Gabon;GAB;0.610;1995
95;Paraguay;PRY;0.580;1995
96;Egypt, Arab Rep.;EGY;0.670;1995
97;Turkmenistan;TKM;0.370;1995
98;Indonesia;IDN;0.580;1995
99;Vietnam;VNM;0.380;1995
100;Philippines;PHL;0.480;1995
101;El Salvador;SLV;0.530;1995
102;Bolivia;BOL;0.000;1995
103;South Africa;ZAF;0.420;1995
104;Kyrgyz Republic;KGZ;0.510;1995
105;Iraq;IRQ;0.660;1995
106;Morocco;MAR;0.710;1995
107;Nicaragua;NIC;0.630;1995
108;Guatemala;GTM;0.600;1995
109;Namibia;NAM;0.560;1995
110;Tajikistan;TJK;0.560;1995
111;Honduras;HND;0.000;1995
112;India;IND;0.690;1995
113;Bhutan;BTN;0.000;1995
114;Congo, Dem. Rep.;COD;0.000;1995
115;Lao PDR;LAO;0.000;1995
116;Bangladesh;BGD;0.660;1995
117;Ghana;GHA;0.630;1995
118;Zambia;ZMB;0.630;1995
119;Cambodia;KHM;0.660;1995
120;Nepal;NPL;0.710;1995
121;Myanmar;MMR;0.000;1995
122;Kenya;KEN;0.710;1995
123;Pakistan;PAK;0.770;1995
124;Syrian Arab Republic;SYR;0.570;1995
125;Tanzania;TZA;0.650;1995
126;Nigeria;NGA;0.830;1995
127;Cameroon;CMR;0.700;1995
128;Papua New Guinea;PNG;0.670;1995
129;Zimbabwe;ZWE;0.600;1995
130;Mauritania;MRT;0.810;1995
131;Rwanda;RWA;0.580;1995
132;Lesotho;LSO;0.580;1995
133;Senegal;SEN;0.630;1995
134;Haiti;HTI;0.000;1995
135;Uganda;UGA;0.650;1995
136;Sudan;SDN;0.720;1995
137;Togo;TGO;0.740;1995
138;Benin;BEN;0.680;1995
139;Yemen, Rep.;YEM;0.000;1995
140;Afghanistan;AFG;0.000;1995
141;Malawi;MWI;0.720;1995
142;Cote d'Ivoire;CIV;0.710;1995
143;Gambia, The;GMB;0.750;1995
144;Ethiopia;ETH;0.000;1995
145;Mali;MLI;0.730;1995
146;Congo, Rep.;COG;0.000;1995
147;Liberia;LBR;0.000;1995
148;Sierra Leone;SLE;0.000;1995
149;Mozambique;MOZ;0.660;1995
150;Burundi;BDI;0.000;1995
151;Burkina Faso;BFA;0.000;1995
152;Chad;TCD;0.000;1995
153;Central African Republic;CAF;0.740;1995
1;Norway;NOR;0.110;2000
2;Switzerland;CHE;0.160;2000
3;Australia;AUS;0.090;2000
4;Germany;DEU;0.130;2000
5;Denmark;DNK;0.080;2000
6;Singapore;SGP;0.270;2000
7;Netherlands;NLD;0.100;2000
8;Ireland;IRL;0.200;2000
9;Iceland;ISL;0.150;2000
10;Canada;CAN;0.000;2000
11;United States;USA;0.000;2000
12;New Zealand;NZL;0.190;2000
13;Sweden;SWE;0.060;2000
14;United Kingdom;GBR;0.220;2000
15;Japan;JPN;0.140;2000
16;Korea, Rep.;KOR;0.190;2000
17;Israel;ISR;0.200;2000
18;Luxembourg;LUX;0.180;2000
19;France;FRA;0.190;2000
20;Belgium;BEL;0.120;2000
21;Finland;FIN;0.090;2000
22;Austria;AUT;0.150;2000
23;Slovenia;SVN;0.000;2000
24;Italy;ITA;0.180;2000
25;Spain;ESP;0.120;2000
26;Czech Republic;CZE;0.000;2000
27;Greece;GRC;0.220;2000
28;Estonia;EST;0.280;2000
29;Cyprus;CYP;0.260;2000
30;Malta;MLT;0.320;2000
31;Qatar;QAT;0.000;2000
32;Poland;POL;0.210;2000
33;Lithuania;LTU;0.280;2000
34;Chile;CHL;0.430;2000
35;Saudi Arabia;SAU;0.000;2000
36;Slovak Republic;SVK;0.220;2000
37;Portugal;PRT;0.210;2000
38;United Arab Emirates;ARE;0.610;2000
39;Hungary;HUN;0.290;2000
40;Latvia;LVA;0.280;2000
41;Argentina;ARG;0.420;2000
42;Croatia;HRV;0.210;2000
43;Bahrain;BHR;0.000;2000
44;Montenegro;MNE;0.000;2000
45;Russian Federation;RUS;0.420;2000
46;Romania;ROU;0.000;2000
47;Kuwait;KWT;0.590;2000
48;Belarus;BLR;0.000;2000
49;Oman;OMN;0.000;2000
50;Barbados;BRB;0.360;2000
51;Uruguay;URY;0.390;2000
52;Bulgaria;BGR;0.340;2000
53;Kazakhstan;KAZ;0.410;2000
54;Bahamas, The;BHS;0.390;2000
55;Panama;PAN;0.510;2000
56;Mauritius;MUS;0.450;2000
57;Trinidad and Tobago;TTO;0.000;2000
58;Costa Rica;CRI;0.430;2000
59;Serbia;SRB;0.000;2000
60;Cuba;CUB;0.390;2000
