hdr;country;code;perc;anno
140;Afghanistan;AFG;0.0;1995
66;Albania;ALB;0.0;1995
41;Argentina;ARG;22.8;1995
72;Armenia;ARM;6.3;1995
3;Australia;AUS;20.5;1995
22;Austria;AUT;24.7;1995
69;Azerbaijan;AZE;12.0;1995
54;Bahamas, The;BHS;19.6;1995
43;Bahrain;BHR;0.0;1995
116;Bangladesh;BGD;9.1;1995
50;Barbados;BRB;18.4;1995
48;Belarus;BLR;0.0;1995
20;Belgium;BEL;15.8;1995
88;Belize;BLZ;10.8;1995
138;Benin;BEN;7.2;1995
113;Bhutan;BTN;2.0;1995
102;Bolivia;BOL;0.0;1995
71;Bosnia and Herzegovina;BIH;0.0;1995
93;Botswana;BWA;8.5;1995
70;Brazil;BRA;6.7;1995
52;Bulgaria;BGR;10.8;1995
151;Burkina Faso;BFA;10.8;1995
150;Burundi;BDI;0.0;1995
119;Cambodia;KHM;5.8;1995
127;Cameroon;CMR;5.6;1995
10;Canada;CAN;21.2;1995
153;Central African Republic;CAF;3.5;1995
152;Chad;TCD;2.4;1995
34;Chile;CHL;7.2;1995
78;China;CHN;0.0;1995
82;Colombia;COL;9.8;1995
114;Congo, Dem. Rep.;COD;0.0;1995
146;Congo, Rep.;COG;0.0;1995
58;Costa Rica;CRI;15.8;1995
142;Cote d'Ivoire;CIV;8.0;1995
42;Croatia;HRV;7.2;1995
60;Cuba;CUB;22.8;1995
29;Cyprus;CYP;5.4;1995
26;Czech Republic;CZE;13.9;1995
5;Denmark;DNK;33.0;1995
85;Dominican Republic;DOM;10.0;1995
77;Ecuador;ECU;3.7;1995
96;Egypt, Arab Rep.;EGY;2.0;1995
101;El Salvador;SLV;15.5;1995
28;Estonia;EST;10.9;1995
144;Ethiopia;ETH;0.0;1995
79;Fiji;FJI;5.8;1995
21;Finland;FIN;33.5;1995
19;France;FRA;9.0;1995
94;Gabon;GAB;9.6;1995
143;Gambia, The;GMB;2.0;1995
62;Georgia;GEO;6.9;1995
4;Germany;DEU;25.5;1995
117;Ghana;GHA;9.0;1995
27;Greece;GRC;6.3;1995
108;Guatemala;GTM;12.5;1995
134;Haiti;HTI;0.0;1995
111;Honduras;HND;0.0;1995
39;Hungary;HUN;11.4;1995
9;Iceland;ISL;25.4;1995
112;India;IND;7.3;1995
98;Indonesia;IDN;11.4;1995
61;Iran, Islamic Rep.;IRN;4.9;1995
105;Iraq;IRQ;6.4;1995
8;Ireland;IRL;13.7;1995
17;Israel;ISR;7.5;1995
24;Italy;ITA;10.0;1995
81;Jamaica;JAM;12.3;1995
15;Japan;JPN;7.7;1995
74;Jordan;JOR;1.7;1995
53;Kazakhstan;KAZ;11.4;1995
122;Kenya;KEN;3.0;1995
16;Korea, Rep.;KOR;3.0;1995
47;Kuwait;KWT;0.1;1995
104;Kyrgyz Republic;KGZ;4.8;1995
115;Lao PDR;LAO;0.0;1995
40;Latvia;LVA;9.0;1995
67;Lebanon;LBN;2.3;1995
132;Lesotho;LSO;11.2;1995
147;Liberia;LBR;0.0;1995
87;Libya;LBY;0.0;1995
33;Lithuania;LTU;17.5;1995
18;Luxembourg;LUX;20.0;1995
141;Malawi;MWI;5.7;1995
90;Maldives;MDV;6.3;1995
145;Mali;MLI;12.2;1995
30;Malta;MLT;5.8;1995
130;Mauritania;MRT;0.7;1995
56;Mauritius;MUS;7.6;1995
68;Mexico;MEX;13.9;1995
92;Moldova;MDA;4.8;1995
80;Mongolia;MNG;7.9;1995
44;Montenegro;MNE;0.0;1995
106;Morocco;MAR;0.7;1995
149;Mozambique;MOZ;25.2;1995
121;Myanmar;MMR;0.0;1995
109;Namibia;NAM;17.3;1995
120;Nepal;NPL;4.5;1995
7;Netherlands;NLD;28.4;1995
12;New Zealand;NZL;29.2;1995
107;Nicaragua;NIC;10.8;1995
126;Nigeria;NGA;0.0;1995
1;Norway;NOR;36.4;1995
49;Oman;OMN;0.0;1995
123;Pakistan;PAK;2.6;1995
55;Panama;PAN;9.7;1995
128;Papua New Guinea;PNG;1.8;1995
95;Paraguay;PRY;5.6;1995
75;Peru;PER;10.8;1995
100;Philippines;PHL;11.6;1995
32;Poland;POL;12.7;1995
37;Portugal;PRT;13.0;1995
31;Qatar;QAT;0.0;1995
46;Romania;ROU;5.6;1995
45;Russian Federation;RUS;7.5;1995
131;Rwanda;RWA;17.1;1995
89;Samoa;WSM;4.1;1995
35;Saudi Arabia;SAU;0.0;1995
133;Senegal;SEN;11.7;1995
59;Serbia;SRB;0.0;1995
148;Sierra Leone;SLE;0.0;1995
6;Singapore;SGP;4.8;1995
36;Slovak Republic;SVK;14.7;1995
23;Slovenia;SVN;7.8;1995
103;South Africa;ZAF;23.7;1995
25;Spain;ESP;19.9;1995
65;Sri Lanka;LKA;5.3;1995
136;Sudan;SDN;5.3;1995
83;Suriname;SUR;15.7;1995
13;Sweden;SWE;40.4;1995
2;Switzerland;CHE;20.3;1995
124;Syrian Arab Republic;SYR;9.6;1995
110;Tajikistan;TJK;2.8;1995
125;Tanzania;TZA;17.5;1995
76;Thailand;THA;6.6;1995
137;Togo;TGO;1.2;1995
86;Tonga;TON;0.1;1995
57;Trinidad and Tobago;TTO;19.4;1995
84;Tunisia;TUN;6.7;1995
63;Turkey;TUR;2.4;1995
97;Turkmenistan;TKM;18.0;1995
135;Uganda;UGA;18.1;1995
73;Ukraine;UKR;3.8;1995
38;United Arab Emirates;ARE;0.1;1995
14;United Kingdom;GBR;11.6;1995
11;United States;USA;11.2;1995
51;Uruguay;URY;6.9;1995
91;Uzbekistan;UZB;6.0;1995
64;Venezuela, RB;VEN;6.3;1995
99;Vietnam;VNM;26.2;1995
139;Yemen, Rep.;YEM;0.0;1995
118;Zambia;ZMB;9.7;1995
129;Zimbabwe;ZWE;14.7;1995
1;Norway;NOR;36.4;2000
2;Switzerland;CHE;25.0;2000
3;Australia;AUS;22.4;2000
4;Germany;DEU;30.4;2000
5;Denmark;DNK;37.4;2000
6;Singapore;SGP;4.3;2000
7;Netherlands;NLD;32.9;2000
8;Ireland;IRL;13.7;2000
9;Iceland;ISL;34.9;2000
10;Canada;CAN;0.0;2000
11;United States;USA;0.0;2000
12;New Zealand;NZL;30.8;2000
13;Sweden;SWE;42.7;2000
14;United Kingdom;GBR;17.0;2000
15;Japan;JPN;10.7;2000
16;Korea, Rep.;KOR;5.9;2000
17;Israel;ISR;12.5;2000
18;Luxembourg;LUX;16.7;2000
19;France;FRA;9.1;2000
20;Belgium;BEL;24.9;2000
21;Finland;FIN;36.5;2000
22;Austria;AUT;25.1;2000
23;Slovenia;SVN;0.0;2000
24;Italy;ITA;10.0;2000
25;Spain;ESP;25.9;2000
26;Czech Republic;CZE;0.0;2000
27;Greece;GRC;8.7;2000
28;Estonia;EST;17.8;2000
29;Cyprus;CYP;7.1;2000
30;Malta;MLT;9.2;2000
31;Qatar;QAT;0.0;2000
32;Poland;POL;12.7;2000
33;Lithuania;LTU;10.6;2000
34;Chile;CHL;8.9;2000
35;Saudi Arabia;SAU;0.0;2000
36;Slovak Republic;SVK;14.0;2000
37;Portugal;PRT;17.4;2000
38;United Arab Emirates;ARE;0.1;2000
39;Hungary;HUN;8.3;2000
40;Latvia;LVA;17.0;2000
41;Argentina;ARG;21.3;2000
42;Croatia;HRV;16.1;2000
43;Bahrain;BHR;0.0;2000
44;Montenegro;MNE;0.0;2000
45;Russian Federation;RUS;5.7;2000
46;Romania;ROU;0.0;2000
47;Kuwait;KWT;0.1;2000
48;Belarus;BLR;0.0;2000
49;Oman;OMN;0.0;2000
50;Barbados;BRB;20.4;2000
51;Uruguay;URY;11.5;2000
52;Bulgaria;BGR;10.8;2000
53;Kazakhstan;KAZ;11.2;2000
54;Bahamas, The;BHS;19.6;2000
55;Panama;PAN;9.9;2000
56;Mauritius;MUS;5.7;2000
57;Trinidad and Tobago;TTO;0.0;2000
58;Costa Rica;CRI;19.3;2000
59;Serbia;SRB;0.0;2000
60;Cuba;CUB;27.6;2000
61;Iran, Islamic Rep.;IRN;3.4;2000
62;Georgia;GEO;7.2;2000
63;Turkey;TUR;4.2;2000
64;Venezuela, RB;VEN;0.0;2000
65;Sri Lanka;LKA;0.0;2000
66;Albania;ALB;5.2;2000
67;Lebanon;LBN;2.3;2000
68;Mexico;MEX;15.9;2000
69;Azerbaijan;AZE;0.0;2000
70;Brazil;BRA;5.9;2000
71;Bosnia and Herzegovina;BIH;0.0;2000
72;Armenia;ARM;3.1;2000
73;Ukraine;UKR;7.8;2000
74;Jordan;JOR;2.5;2000
75;Peru;PER;0.0;2000
76;Thailand;THA;6.8;2000
77;Ecuador;ECU;14.6;2000
78;China;CHN;21.8;2000
79;Fiji;FJI;0.0;2000
80;Mongolia;MNG;10.5;2000
81;Jamaica;JAM;16.0;2000
82;Colombia;COL;12.2;2000
83;Suriname;SUR;0.0;2000
84;Tunisia;TUN;11.5;2000
85;Dominican Republic;DOM;14.5;2000
86;Tonga;TON;0.1;2000
87;Libya;LBY;0.0;2000
88;Belize;BLZ;13.5;2000
89;Samoa;WSM;8.2;2000
90;Maldives;MDV;6.0;2000
91;Uzbekistan;UZB;7.2;2000
92;Moldova;MDA;7.9;2000
93;Botswana;BWA;17.0;2000
94;Gabon;GAB;10.9;2000
95;Paraguay;PRY;8.0;2000
96;Egypt, Arab Rep.;EGY;2.0;2000
97;Turkmenistan;TKM;26.0;2000
98;Indonesia;IDN;8.0;2000
99;Vietnam;VNM;26.0;2000
100;Philippines;PHL;11.8;2000
101;El Salvador;SLV;9.5;2000
102;Bolivia;BOL;10.2;2000
103;South Africa;ZAF;30.1;2000
104;Kyrgyz Republic;KGZ;6.0;2000
105;Iraq;IRQ;7.6;2000
106;Morocco;MAR;0.7;2000
107;Nicaragua;NIC;9.7;2000
108;Guatemala;GTM;8.8;2000
109;Namibia;NAM;20.4;2000
110;Tajikistan;TJK;14.0;2000
111;Honduras;HND;9.4;2000
112;India;IND;0.0;2000
113;Bhutan;BTN;9.3;2000
114;Congo, Dem. Rep.;COD;12.0;2000
115;Lao PDR;LAO;21.2;2000
116;Bangladesh;BGD;9.1;2000
117;Ghana;GHA;0.0;2000
118;Zambia;ZMB;10.1;2000
119;Cambodia;KHM;9.3;2000
120;Nepal;NPL;7.9;2000
121;Myanmar;MMR;0.0;2000
122;Kenya;KEN;3.6;2000
